left_inside_boundary|right_inside_boundary|left_road_boundary|right_road_boundary|left_lane_marking|right_lane_marking
46.4040404348,11.3014631224|46.4040274691,11.3014544206|46.4041015587,11.3015026153|46.4039705127,11.3014182746|46.4040700706,11.3014825342|46.4039992224,11.3014363476
46.403937435,11.3013961224|46.4039212279,11.3013854125|46.4039948546,11.3014336072|46.4038642714,11.3013485972|46.4039638295,11.3014128567|46.4038925181,11.3013673395
46.4038384353,11.3013321224|46.4038222281,11.3013214125|46.4038958549,11.3013696072|46.4037652715,11.3012845972|46.4038648298,11.3013488567|46.4037935183,11.3013033395
46.4037308049,11.3012657918|46.4037192283,11.3012544125|46.4037928553,11.3013026072|46.4036622716,11.3012175972|46.4037618301,11.3012818567|46.4036905184,11.3012363395
46.4036318051,11.3012017918|46.4036202285,11.3011904125|46.4036938556,11.3012386072|46.4035632717,11.3011535972|46.4036628304,11.3012178567|46.4035915186,11.3011723395
46.403535436,11.3011351224|46.4035192287,11.3011244125|46.403592856,11.3011726072|46.4034622718,11.3010875972|46.4035618307,11.3011518567|46.4034905188,11.3011063395
46.4034339732,11.301068453|46.4034177659,11.3010584125|46.4034913933,11.3011059378|46.4033608089,11.3010215972|46.4034603679,11.3010858567|46.4033890559,11.3010396701
46.4033438995,11.3010101224|46.4033272292,11.3009994125|46.4034008567,11.3010476072|46.403270272,11.3009625972|46.4033698312,11.3010268567|46.4032985191,11.3009813395
46.4032295106,11.300934453|46.4032170078,11.3009264206|46.4032906355,11.3009739459|46.4031595875,11.3008896053|46.4032591469,11.3009538648|46.4031882976,11.3009076782
46.4031197126,11.3008714612|46.4031072097,11.3008600819|46.4031813006,11.3009055991|46.4030493263,11.3008246053|46.403149812,11.3008861873|46.4030784995,11.3008420089
46.4030299742,11.300804453|46.4030170082,11.3007964206|46.4030906362,11.3008439459|46.4029595877,11.3007596053|46.4030591475,11.3008238648|46.402988298,11.3007776782
46.4029269744,11.300737453|46.4029172499,11.3007267431|46.402990415,11.3007769459|46.4028602924,11.300688589|46.4029589262,11.300755526|46.4028885396,11.3007080007
46.402821807,11.3006737918|46.4028143979,11.3006610737|46.402887563,11.3007106072|46.4027579033,11.3006229196|46.4028565373,11.3006898566|46.4027861506,11.300641662
46.4027259011,11.3006081224|46.4027096936,11.3005980818|46.4027833219,11.3006456072|46.4026527358,11.3005612665|46.4027518331,11.300625526|46.4026809831,11.3005793395
46.4026197337,11.3005434611|46.4026081569,11.3005320818|46.4026817853,11.3005796072|46.402551199,11.3004952665|46.4026502964,11.300559526|46.4025794464,11.3005140088
46.4025263646,11.3004791224|46.402509694,11.3004690818|46.4025833226,11.3005166072|46.402452736,11.3004322665|46.4025518336,11.300496526|46.4024809835,11.3004503395
46.402422828,11.3004127917|46.4024061573,11.3004020818|46.4024797861,11.3004496072|46.4023491992,11.3003652665|46.402448297,11.300429526|46.4023774467,11.3003840088
46.4023218282,11.3003467917|46.4023088621,11.3003340737|46.4023820279,11.3003836072|46.4022519039,11.3002959196|46.4023510019,11.3003628566|46.4022806145,11.3003153313
46.4022171239,11.3002821305|46.402205547,11.3002707512|46.402279176,11.3003189459|46.4021481256,11.3002339359|46.4022476868,11.3002981954|46.4021768363,11.3002526782
